nombre,partido,votos,puntaje
Alvaro Uribe Velez,Partido Centro Democrático,875554,71
Paola Andrea Holguin Moreno,Partido Centro Democrático,58005,92
Amanda Rocio Gonzalez Rodriguez,Partido Centro Democrático,45505,70
Ernesto Macias Tovar,Partido Centro Democrático,39669,79
Maria Fernanda Cabal Molina,Partido Centro Democrático,37905,87
Ciro Alejandro Ramirez Cortes,Partido Centro Democrático,36677,80
Santiago Valencia Gonzalez,Partido Centro Democrático,35351,73
Honorio Miguel Henriquez Pinedo,Partido Centro Democrático,33432,81
Gabriel Jaime Velasco Ocampo,Partido Centro Democrático,33180,77
Ruby Helena Chagui Spath,Partido Centro Democrático,31589,93
Alejandro Corrales Escobar,Partido Centro Democrático,30830,86
Paloma Susana Valencia Laserna,Partido Centro Democrático,29319,80
Carlos Felipe Mejia Mejia,Partido Centro Democrático,28985,99
Nicolas Perez Vasquez,Partido Centro Democrático,28983,99
Maria Del Rosario Guerra De La Espriella,Partido Centro Democrático,28739,72
Fernando Nicolas Araujo Rumie,Partido Centro Democrático,27866,97
Carlos Manuel Meisel Vergara,Partido Centro Democrático,27284,89
Jose Obdubio Gaviria Velez,Partido Centro Democrático,27704,88
John Harold Suarez Vargas,Partido Centro Democrático,26760,83
Arturo Char Chaljub,Partido Cambio Radical,126628,58
Luis Eduardo Diaz Granados Torres,Partido Cambio Radical,112591,67
Rodrigo Lara Restrepo,Partido Cambio Radical,90413,69
Didier Lobo Chinchilla,Partido Cambio Radical,86744,99
Edgar Jesus Diaz Contreras,Partido Cambio Radical,81082,83
Carlos Abraham Jimenez Lopez,Partido Cambio Radical,79306,60
Carlos Fernando Motoa Solarte,Partido Cambio Radical,78864,51
Fabian Gerardo Castillo Suarez,Partido Cambio Radical,78845,93
Richard Alfonso Aguilar Villa,Partido Cambio Radical,76942,55
Antonio Luis Zabarain Guevara,Partido Cambio Radical,74786,86
Daira De Jesus Galvis Mendez,Partido Cambio Radical,73687,84
Jose Luis Perez Oyuela,Partido Cambio Radical,70069,74
Claudia Yadira Ines Rodriguez De Castellanos,Partido Cambio Radical,66601,87
German Varon Cotrino,Partido Cambio Radical,64457,70
Temistocles Ortega Narvaez,Partido Cambio Radical,63592,52
Ana Maria Castañeda Gomez,Partido Cambio Radical,57359,53
David Alejandro Barguil Assis,Partido Conservador Colombiano,139147,78
Efrain Jose Cepeda Sarabia,Partido Conservador Colombiano,117059,99
Nora Maria Garcia Burgos,Partido Conservador Colombiano,96926,59
Carlos Andres Trujillo Gonzalez,Partido Conservador Colombiano,86721,64
Laureano Augusto Acuña Diaz,Partido Conservador Colombiano,82854,79
Juan Samy Merheg Marun,Partido Conservador Colombiano,81078,57
Miguel Angel Barreto Castillo,Partido Conservador Colombiano,79980,66
Myriam Alicia Paredes Aguirre,Partido Conservador Colombiano,78828,65
Juan Diego Gomez Jimenez,Partido Conservador Colombiano,74243,60
Aida Merlano Rebolledo,Partido Conservador Colombiano,73250,68
Juan Carlos Garcia Gomez,Partido Conservador Colombiano,70347,50
Nadya Georgette Blel Scaff,Partido Conservador Colombiano,69840,67
Esperanza Andrade De Osso,Partido Conservador Colombiano,69056,64
Carlos Eduardo Enriquez Maya,Partido Conservador Colombiano,66826,89
Soledad Tamayo Tamayo,Partido Conservador Colombiano,59149,91
Lidio Arturo Garcia Turbay,Partido Liberal Colombiano,117975,63
Mauricio Gomez Amin,Partido Liberal Colombiano,103301,99
Horacio Jose Serpa Moncada,Partido Liberal Colombiano,91407,68
Miguel Angel Pinto Hernandez,Partido Liberal Colombiano,84068,63
Fabio Raul Amin Saleme,Partido Liberal Colombiano,83725,74
Julian Bedoya Pulgarin,Partido Liberal Colombiano,74585,50
Luis Fernando Velasco Chaves,Partido Liberal Colombiano,74265,55
Mario Alberto Castaño Perez,Partido Liberal Colombiano,73079,67
Jaime Enrique Duran Barrera,Partido Liberal Colombiano,69487,65
Ivan Dario Agudelo Zapata,Partido Liberal Colombiano,67457,67
Andres Cristo Bustos,Partido Liberal Colombiano,67449,87
Guillermo Garcia Realpe,Partido Liberal Colombiano,64951,78
Laura Ester Fortich Sanchez,Partido Liberal Colombiano,62878,76
Rodrigo Villalba Mosquera,Partido Liberal Colombiano,62674,75
Roy Leonardo Barreras Montealegre,Partido De La U,110358,88
Roosvelt Rodriguez Rengifo,Partido De La U,103057,84
Jose Ritter Lopez Peña,Partido De La U,87394,78
Jose David Name Cardozo,Partido De La U,86765,98
Juan Felipe Lemos Uribe,Partido De La U,82094,60
Eduardo Enrique Pulgar Daza,Partido De La U,81698,90
John Moises Besaile Fayad,Partido De La U,77448,66
Jose Alfredo Gnecco Zuleta,Partido De La U,76161,90
Andres Felipe Garcia Zuccardi,Partido De La U,72638,76
